rgiid	v0	a0	flag	tauv	tv_err	dv	dv_err	tauA	ta_err	da	da_err
15.05997	1.404609	13.6	0	28.981414173301335	0.034798659038978025	0.05450570239337682	8.249335163469044e-6	28.085146151509054	0.03926513736556219	0.4417825766657488	0.00007652660051060903
15.06014	1.132729	10.56	0	36.48044632909859	0.04746454883277981	0.06443109148098794	0.00001200417813421655	36.15443968700283	0.027501314894543074	0.489846625221817	0.00005308744372698896
15.06020	0.443629	4.59	0	18.319345224029554	0.04328887182628376	0.011702017376472426	2.723775174431869e-6	18.359304452282625	0.04248461322908355	0.10184800140536769	0.000023241966426598795
15.06024	0.271715	3.22	0	51.46120070029315	0.09915592887630476	0.05307208057427575	0.000017848293472071696	51.43050189620885	0.1013629867728935	0.5196307344707295	0.0001786866263530676
15.06025	0.299011	3.87	0	48.75274388623732	0.07285671100936526	0.048746359557570056	0.000012316480468828879	49.091759944051155	0.08544829374172422	0.5049029114663559	0.00014919022273919907
15.06038	1.047481	6.61	0	51.81584920577647	0.0800714901280101	0.08770917506201366	0.00002375291526157042	55.72370371902607	0.16429448639307828	0.425531659605595	0.00022961211405462354
15.06055	0.555489	5.85	0	26.773258137357956	0.042692877727715385	0.024156298062607547	4.649839756430002e-6	26.644613726359577	0.051605672093567576	0.20969124151751592	0.000048897268720468426
15.06060	0.313314	3.21	0	69.58242871512941	0.16836518347036367	0.07640304433355814	0.00003878304315467133	72.3297101544627	0.14411310425237916	0.6218687739227845	0.0002663900476562351
15.06079	0.472821	3.84	0	123.1273470554608	0.20180815788749756	0.11676940443714538	0.00005907171938195976	128.04838191824123	0.1325462109333254	0.7626500995271451	0.00025060026838825587
15.06094	2.02813	13.19	0	60.121073232625854	0.04527121373591771	0.1876749546471784	0.000027079253971493978	60.96616718318331	0.052799788800295504	0.9593477899763804	0.00016056699148801445
15.06095	1.665839	13.88	0	44.2594444331698	0.055155761866348504	0.11342704863828451	0.00002259302856517771	43.046675348895434	0.083080737259312	0.7766751682528638	0.00023579244234598736
15.06098	0.495823	4.47	0	55.42984568971763	0.1393288783012598	0.06770337898836076	0.000031046310709935734	57.4967214537742	0.13092198794709076	0.47857111170292266	0.00020322974837060176
15.06177	0.316855	4.04	0	38.041663592343355	0.03755246056919254	0.03566255198150197	5.1613703435123464e-6	38.805264409688476	0.031504222754624084	0.3584461446389326	0.000043147355301993216
15.06194	1.080964	9.34	0	55.19117534649087	0.050016776461267946	0.09027161856111128	0.000014885936588865061	53.48956205091091	0.09149840337289031	0.6402124142477922	0.0001955794598184644
15.06204	0.262364	4.23	0	12.805917012872014	0.050875541816126545	0.00862402346139189	2.7972470433625985e-6	13.956900297309273	0.07603079675180699	0.10207731821603469	0.000047481411677484706
15.06211	0.219211	3.38	0	55.14297981911434	0.10634890170003725	0.052900321590700024	0.000018554645605117302	58.023529682732054	0.07135019325883772	0.6497470414328664	0.0001498309883971841
15.06290	0.28194	4.46	0	25.494181698083185	0.034589500937414336	0.02240177142822507	3.572759570918858e-6	24.200811237894424	0.05905231143677344	0.29958213847083937	0.00008354570216386594
15.06307	0.261151	3.62	0	25.89837005184012	0.04375106553362591	0.0209897666591176	4.2038122472105905e-6	26.962494784998167	0.0783370833619914	0.2360791169336712	0.00008311548697325657
15.06313	0.839816	8.07	0	29.10295198363198	0.04120200215260678	0.03426078656267322	6.127851630731296e-6	28.69508387526885	0.038752508640843855	0.2685611514025406	0.00004546834339628966
15.06314	1.151577	12.02	0	26.660269011719226	0.04638195473439801	0.029248939824155676	6.128435165464298e-6	27.852021770973455	0.08680300507799822	0.23707040438607205	0.00009112821009248989
15.06320	0.454061	5.7	0	17.675169596169802	0.04456012266931187	0.016779642327060404	4.088767576626234e-6	16.841177704611486	0.03020513876691538	0.1730716554779779	0.00002924772543949255
15.06321	0.696984	6.29	0	25.11456034119602	0.04117947242189024	0.03200908874258733	6.119572186077908e-6	25.362169380579434	0.04108655684665644	0.23065384533268427	0.000043799758686730666
15.06324	0.243419	2.96	0	22.59661648335663	0.040170785788819	0.010592379407892125	2.0741647272865763e-6	23.098044674236167	0.06627161017145707	0.10349969218495177	0.000033097191160557346
15.06331	0.446713	5.65	0	16.134105928701516	0.046914550170882745	0.013504204675313007	3.617349992143429e-6	16.8352127456445	0.07199083983775983	0.13672368262436344	0.00005507812270217164
15.06345	0.943717	10.27	0	41.783436205068874	0.03646442350882536	0.0768097597749194	0.000010365726504759662	43.29259453935338	0.04558365357001891	0.6442309843734112	0.00010705034643889596
15.06347	0.502153	5.29	0	57.41643569935038	0.08403748238440592	0.07252674933050679	0.000019780614207847564	57.627940100195616	0.0849527955625684	0.6205588987464244	0.0001708429505403146
15.06357	0.846938	9.26	0	37.65730147077151	0.03229409246327917	0.051347815156104516	6.419210834169565e-6	35.4134718719592	0.07395971095308879	0.471328363299674	0.00013862840735526116
15.06358	1.842712	16.63	0	26.335149644513844	0.03380305896560966	0.08027863926833298	0.000012327654520390688	25.250279041523545	0.041162300257399385	0.6215117634000692	0.00011847900650979483
15.06361	0.436628	4.39	0	65.04758445872959	0.10562582090157835	0.053978523267175865	0.000017629188147505635	66.6217437526915	0.09184687424241142	0.4300123292765078	0.00012102178893958551
15.06366	0.499966	5.51	0	76.4353517723271	0.1250400971537348	0.07075699523705953	0.000025782607313605765	76.26529533961418	0.15612509513608153	0.627517310507344	0.00028572592080830175
15.06383	0.784689	4.68	0	57.68988397276768	0.03787947572867611	0.04471504580002927	5.4866778083853495e-6	58.19345955483067	0.04253823074401148	0.21011465671360496	0.00002885338622704054
